"gaul1_code","map_code","gaul0_name","gaul1_name","continent","disp_en"
"2576","xJL","Disputed Area(xJL)","Administrative Unit Not Available","Asia","Disputed Area(xJL)"
"3773","MDA","Republic of Moldova","Unitate Teritoriala Autonoma Gagauzia","Europe","Unitate Teritoriala Autonoma Gagauzia, Republic of Moldova"
"1848","BRA","Brazil","Ceará","America","Ceará, Brazil"
"1458","MRT","Mauritania","Tagant","Africa","Tagant, Mauritania"
"2448","AZE","Azerbaijan","East Zangezur Economic Region","Asia","East Zangezur Economic Region, Azerbaijan"
"1219","COD","Democratic Republic of the Congo","Kasaï-Oriental","Africa","Kasaï-Oriental, Democratic Republic of the Congo"
"2334","USA","United States of America","New York","America","New York, United States of America"
"3609","LIE","Liechtenstein","Balzers","Europe","Balzers, Liechtenstein"
"2173","PAN","Panama","Darién","America","Darién, Panama"
"3961","UKR","Ukraine","Mykolaivska","Europe","Mykolaivska, Ukraine"
"2267","SGS","South Georgia and the South Sandwich Islands","Administrative Unit Not Available","America","South Georgia and the South Sandwich Islands"
"3355","BGR","Bulgaria","Varna","Europe","Varna, Bulgaria"
"2402","AFG","Afghanistan","Bamyan","Asia","Bamyan, Afghanistan"
"2968","SGP","Singapore","Ang Mo Kio-Cheng San","Asia","Ang Mo Kio-Cheng San, Singapore"
"2849","MDV","Maldives","Haa Alifu","Asia","Haa Alifu, Maldives"
"2252","LCA","Saint Lucia","Dennery","America","Dennery, Saint Lucia"
"3073","THA","Thailand","Surat Thani","Asia","Surat Thani, Thailand"
"3533","IRL","Ireland","Leitrim","Europe","Leitrim, Ireland"
"2986","LKA","Sri Lanka","Western","Asia","Western, Sri Lanka"
"2501","BRN","Brunei Darussalam","Brunei And Muara","Asia","Brunei And Muara, Brunei Darussalam"
"1511","NER","Niger","Diffa","Africa","Diffa, Niger"
"1940","COL","Colombia","Santander","America","Santander, Colombia"
"2847","MDV","Maldives","Gaafu Alifu","Asia","Gaafu Alifu, Maldives"
"3058","THA","Thailand","Ratchaburi","Asia","Ratchaburi, Thailand"
"1517","NGA","Nigeria","Abia","Africa","Abia, Nigeria"
"3444","GEO","Georgia","Abkhazeti (Abkhazia) Autonomous Republic","Europe","Abkhazeti (Abkhazia) Autonomous Republic, Georgia"
"4091","UMI","United States Minor Outlying Islands","Baker Island","Oceania","Baker Island, United States Minor Outlying Islands"
"2422","AFG","Afghanistan","Nuristan","Asia","Nuristan, Afghanistan"
"3642","MNE","Montenegro","Berane","Europe","Berane, Montenegro"
"1417","LBR","Liberia","Lofa","Africa","Lofa, Liberia"
"3725","PRT","Portugal","Ilha do Faial","Europe","Ilha do Faial, Portugal"
"3140","TUR","Türkiye","Igdir","Asia","Igdir, Türkiye"
"3492","GGY","Guernsey","Vale","Europe","Vale, Guernsey"
"1896","CYM","Cayman Islands","West Bay","America","West Bay, Cayman Islands"
"3753","MDA","Republic of Moldova","Falesti","Europe","Falesti, Republic of Moldova"
"2090","HND","Honduras","Intibuca","America","Intibuca, Honduras"
"2245","KNA","Saint Kitts And Nevis","Saint Thomas Lowland","America","Saint Thomas Lowland, Saint Kitts And Nevis"
"2934","QAT","Qatar","Al Sheehaniya Municipality","Asia","Al Sheehaniya Municipality, Qatar"
