gaul2_code,map_code,gaul0_name,gaul1_name,gaul2_name,continent,disp_en
131281,THA,Thailand,Phayao,Chiang Kham,Asia,"Chiang Kham, Phayao, Thailand"
132311,TUR,Türkiye,Kastamonu,Senpazar,Asia,"Senpazar, Kastamonu, Türkiye"
131282,THA,Thailand,Phayao,Chiang Muan,Asia,"Chiang Muan, Phayao, Thailand"
131319,THA,Thailand,Phichit,Wachirabarami,Asia,"Wachirabarami, Phichit, Thailand"
131283,THA,Thailand,Phayao,Chun,Asia,"Chun, Phayao, Thailand"
131320,THA,Thailand,Phichit,Wang Sai Phun,Asia,"Wang Sai Phun, Phichit, Thailand"
131284,THA,Thailand,Phayao,Dok Khamtai,Asia,"Dok Khamtai, Phayao, Thailand"
131286,THA,Thailand,Phayao,Mueang Phayao,Asia,"Mueang Phayao, Phayao, Thailand"
131287,THA,Thailand,Phayao,Phu Kamyao,Asia,"Phu Kamyao, Phayao, Thailand"
131291,THA,Thailand,Phetchabun,Chon Daen,Asia,"Chon Daen, Phetchabun, Thailand"
131292,THA,Thailand,Phetchabun,Khao Kho,Asia,"Khao Kho, Phetchabun, Thailand"
131293,THA,Thailand,Phetchabun,Lom Kao,Asia,"Lom Kao, Phetchabun, Thailand"
131330,THA,Thailand,Phra Nakhon Si Ayutthaya,Ban Phraek,Asia,"Ban Phraek, Phra Nakhon Si Ayutthaya, Thailand"
131294,THA,Thailand,Phetchabun,Lom Sak,Asia,"Lom Sak, Phetchabun, Thailand"
131295,THA,Thailand,Phetchabun,Mueang Phetchabun,Asia,"Mueang Phetchabun, Phetchabun, Thailand"
131296,THA,Thailand,Phetchabun,Nam Nao,Asia,"Nam Nao, Phetchabun, Thailand"
131297,THA,Thailand,Phetchabun,Nong Phai,Asia,"Nong Phai, Phetchabun, Thailand"
131298,THA,Thailand,Phetchabun,Si Thep,Asia,"Si Thep, Phetchabun, Thailand"
131299,THA,Thailand,Phetchabun,Wang Pong,Asia,"Wang Pong, Phetchabun, Thailand"
131300,THA,Thailand,Phetchabun,Wichian Buri,Asia,"Wichian Buri, Phetchabun, Thailand"
